	sim_id	lbgi_icgm	lbgi_ideal	lbgi_diff	dkai_icgm	dkai_ideal	dkai_diff	bg_condition	true_start_bg	start_bg_with_offset	sbr	isf	cir	ylw	age	max_bolus_delivered	traditional_bolus_delivered	bolus_diff
70	icgm_analysis_coastal_vp_1_80a5c60283c2b095d69cca4f64c26e2564958a07e2f0e19fafd073ed47d2b5e7_tbg=100_sbg=85	1.27	1.41	-0.1399999999999999	0.0	0.0	0.0	1	100	85				0	6	0.2558401450321372	0	0.2558401450321372
71	icgm_analysis_coastal_vp_1_80a5c60283c2b095d69cca4f64c26e2564958a07e2f0e19fafd073ed47d2b5e7_tbg=100_sbg=90	1.35	1.41	-0.05999999999999983	0.0	0.0	0.0	1	100	90				0	6	0.2723700559496189	0	0.2723700559496189
72	icgm_analysis_coastal_vp_1_80a5c60283c2b095d69cca4f64c26e2564958a07e2f0e19fafd073ed47d2b5e7_tbg=100_sbg=95	1.53	1.41	0.1200000000000001	0.0	0.0	0.0	1	100	95				0	6	0.2906046352096313	0	0.2906046352096313
73	icgm_analysis_coastal_vp_1_80a5c60283c2b095d69cca4f64c26e2564958a07e2f0e19fafd073ed47d2b5e7_tbg=105_sbg=100	0.82	0.71	0.10999999999999999	0.0	0.0	0.0	1	105	100				0	6	0.0272528928545503	0	0.0272528928545503
74	icgm_analysis_coastal_vp_1_80a5c60283c2b095d69cca4f64c26e2564958a07e2f0e19fafd073ed47d2b5e7_tbg=105_sbg=105	0.71	0.71	0.0	0.0	0.0	0.0	1	105	105				0	6	0.0279239359565712	0	0.0279239359565712
75	icgm_analysis_coastal_vp_1_80a5c60283c2b095d69cca4f64c26e2564958a07e2f0e19fafd073ed47d2b5e7_tbg=105_sbg=110	0.65	0.71	-0.05999999999999994	0.0	0.0	0.0	1	105	110				0	6	0.0317413199045852	0	0.0317413199045852
76	icgm_analysis_coastal_vp_1_80a5c60283c2b095d69cca4f64c26e2564958a07e2f0e19fafd073ed47d2b5e7_tbg=105_sbg=115	0.85	0.71	0.14	0.0	0.0	0.0	1	105	115				0	6	0.0434154960685572	0	0.0434154960685572
77	icgm_analysis_coastal_vp_1_80a5c60283c2b095d69cca4f64c26e2564958a07e2f0e19fafd073ed47d2b5e7_tbg=105_sbg=120	0.83	0.71	0.12	0.083	0.0	0.083	1	105	120				0	6	0.0504620549518509	0	0.0504620549518509
78	icgm_analysis_coastal_vp_1_80a5c60283c2b095d69cca4f64c26e2564958a07e2f0e19fafd073ed47d2b5e7_tbg=105_sbg=125	0.74	0.71	0.030000000000000027	0.083	0.0	0.083	1	105	125				0	6	0.066150720028271	0	0.066150720028271
79	icgm_analysis_coastal_vp_1_80a5c60283c2b095d69cca4f64c26e2564958a07e2f0e19fafd073ed47d2b5e7_tbg=105_sbg=130	0.89	0.71	0.18000000000000005	0.0	0.0	0.0	1	105	130				0	6	0.0791978089937274	0	0.0791978089937274
80	icgm_analysis_coastal_vp_1_80a5c60283c2b095d69cca4f64c26e2564958a07e2f0e19fafd073ed47d2b5e7_tbg=105_sbg=135	0.92	0.71	0.21000000000000008	0.0	0.0	0.0	1	105	135				0	6	0.0829384221220955	0	0.0829384221220955
81	icgm_analysis_coastal_vp_1_80a5c60283c2b095d69cca4f64c26e2564958a07e2f0e19fafd073ed47d2b5e7_tbg=105_sbg=140	0.86	0.71	0.15000000000000002	0.0	0.0	0.0	1	105	140				0	6	0.102116794769856	0	0.102116794769856
